Zeit[sec]	Spannung [mV]	
0	0	
0.05	1.54504	
0.1	2.93885	
0.15	4.045	
0.2	4.75523	
0.25	5	
0.3	4.75537	
0.35	4.04528	
0.4	2.93923	
0.45	1.54548	
0.5	0.000463268	
0.55	-1.5446	
0.6	-2.93848	
0.65	-4.04473	
0.7	-4.75508	
0.75	-5	
0.8	-4.75551	
0.85	-4.04555	
0.9	-2.9396	
0.95	-1.54592	
1	-0.000926536	
1.05	1.54416	
1.1	2.9381	
1.15	4.04446	
1.2	4.75494	
1.25	5	
1.3	4.75565	
1.35	4.04582	
1.4	2.93998	
1.45	1.54636	
1.5	0.0013898	
1.55	-1.54372	
1.6	-2.93773	
1.65	-4.04419	
1.7	-4.7548	
1.75	-5	
1.8	-4.7558	
1.85	-4.04609	
1.9	-2.94035	
1.95	-1.5468	
2	-0.00185307	
2.05	1.54328	
2.1	2.93736	
2.15	4.04392	
2.2	4.75465	
2.25	5	
2.3	4.75594	
2.35	4.04636	
2.4	2.94072	
2.45	1.54724	
2.5	0.00231634	
2.55	-1.54284	
2.6	-2.93698	
2.65	-4.04364	
2.7	-4.75451	
2.75	-5	
2.8	-4.75608	
2.85	-4.04663	
2.9	-2.9411	
2.95	-1.54768	
3	-0.00277961	
3.05	1.5424	
3.1	2.93661	
3.15	4.04337	
3.2	4.75437	
3.25	5	
3.3	4.75623	
3.35	4.04691	
3.4	2.94147	
3.45	1.54812	
3.5	0.00324288	
3.55	-1.54195	
3.6	-2.93623	
3.65	-4.0431	
3.7	-4.75422	
3.75	-5	
3.8	-4.75637	
3.85	-4.04718	
3.9	-2.94185	
3.95	-1.54856	
4	-0.00370614	
4.05	1.54152	
4.1	2.93585	
4.15	4.04283	
4.2	4.75408	
4.25	5	
4.3	4.75651	
4.35	4.04745	
4.4	2.94222	
4.45	1.549	
4.5	0.00416941	
4.55	-1.54108	
4.6	-2.93547	
4.65	-4.04255	
4.7	-4.75394	
4.75	-5	
4.8	-4.75665	
4.85	-4.04773	
4.9	-2.9426	
4.95	-1.54944	
